Player,FPTS,FPTS/G,Player Segment
James Proche II (BAL),1.4,0.1,0
Vyncint Smith (DEN),1.3,0.2,0
Keith Kirkwood (FA),1.3,1.3,0
Cody Hollister (TEN),1.2,0.6,0
Bennie Fowler III (FA),1.1,0.2,0
Marcus Kemp (FA),1.1,0.1,0
Gehrig Dieter (FA),1.0,0.3,0
Trenton Irwin (CIN),0.5,0.5,0
JoJo Natson (FA),0.3,0.1,0
Chris Rowland (FA),0.0,0.0,0
Kristian Wilkerson (NE),0.0,0.0,0
Dan Chisena (MIN),0.0,0.0,0
Matt Cole (FA),0.0,0.0,0
Derrick Willies (FA),0.0,0.0,0
Jason Moore Jr. (LAC),0.0,0.0,0
Alex Bachman (FA),0.0,0.0,0
Quinton Bell (ATL),0.0,0.0,0
Juwann Winfree (GB),0.0,0.0,0
Keelan Doss (FA),0.0,0.0,0
Stanley Morgan Jr. (CIN),0.0,0.0,0
K.J. Osborn (MIN),0.0,0.0,0
Rico Gafford (FA),0.0,0.0,0
Isaiah Coulter (CHI),0.0,0.0,0
Kirk Merritt (NO),0.0,0.0,0
Dezmon Patmon (IND),0.0,0.0,0
Reggie Begelton (FA),0.0,0.0,0
Malik Turner (SF),0.0,0.0,0
Hakeem Butler (FA),0.0,0.0,0
Tony Brown (FA),0.0,0.0,0
Jordan Matthews (SF),0.0,0.0,0
Tavon Austin (BUF),0.0,0.0,0
Matthew Slater (NE),0.0,0.0,0
Marken Michel (WAS),0.0,0.0,0
Taywan Taylor (FA),0.0,0.0,0
Duke Williams (FA),0.0,0.0,0
Chris Moore (HOU),0.0,0.0,0
Tajae Sharpe (FA),0.0,0.0,0
Johnny Holton (FA),0.0,0.0,0
Fred Brown (FA),0.0,0.0,0
Cyril Grayson Jr. (FA),0.0,0.0,0
Deante Burton (FA),0.0,0.0,0
Jeff Badet (FA),0.0,0.0,0
Trey Quinn (FA),0.0,0.0,0
Deon Cain (PHI),0.0,0.0,0
Justin Hardee (NYJ),0.0,0.0,0
Kevin White (FA),0.0,0.0,0
Ty Montgomery (NE),0.0,0.0,0
Kendall Hinton (DEN),-0.8,-0.8,0
Andre Roberts (CAR),-0.9,-0.1,0
DeAndre Carter (LAC),-1.2,-0.1,0
Dede Westbrook (FA),-1.6,-0.8,0
Dwayne Harris (FA),-2.0,-0.7,0
Nsimba Webster (CHI),-2.0,-0.1,0
