"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"172","Adam Shaheen (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Gerald Everett (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.5%"
"174","Jonnu Smith (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"175","George Kittle (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.5%"
"176","Robert Tonyan (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.5%"
"177","Mason Schreck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Cethan Carter (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Cameron Brate (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8%"
"180","Richard Rodgers (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Darren Waller (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.7%"
"182","Geoff Swaim (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"183","Eric Tomlinson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","C.J. Uzomah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"185","Maxx Williams (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Jesse James (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Tyler Kroft (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"188","Nick Boyle (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"189","MyCole Pruitt (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Blake Bell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"191","Chris Manhertz (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
